ID,ALOG_SESSION_ID,ALOG_PERS_ID,ALOG_SNIEDZ_ID,ALOG_KLPAK_ID,ALOG_KLAUT_ID,ALOG_CATEGORY,ALOG_EVENTID,ALOG_LEVEL,ALOG_DATUMS,ALOG_INFO,ALOG_DATA1,ALOG_DATA2,ALOG_REQ_ID,ALOG_STACKTRACE,ALOG_APPCODE,ALOG_DISTRICT_ID,ALOG_INFO2,ALOG_START_TS,ALOG_END_TS,,
11,,,,,,0,2,4,14.04.202000:47:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
12,,,,,,0,3,2,14.04.202000:47:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
13,,,,,,,,4,14.04.202000:47:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
14,,,,,,0,2,4,14.04.202000:47:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
15,,,,,,0,3,2,14.04.202000:47:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
16,,,,,,,,4,14.04.202000:47:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
17,,,,,,0,2,4,14.04.202000:47:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
18,,,,,,0,3,2,14.04.202000:47:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
19,"3,54141373643454E+063",,,,,,,2,14.04.202001:14:34,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3541413736434543393138353435393642363144373232463535383535354430</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
20,"3,33142333636334E+063",,,,,,,2,14.04.202001:15:33,DIV_PUBLIC_pck.ListEnvelopes_received,ListEnvelopes_received,,,"DECLARBEGIN/*<session><guid>3331423336363339393841463430304238304537323232383345453646384441</guid><user_id>7379</user_id><user_guid></user_guid><app_id>26</app_id><stv_id></stv_id><strada_id></strada_id><kliec_id>590</kliec_id><user_code></user_code><user_name></user_name><user_surname></user_surname></session>*/SESSION_PCK.CreateContext(inguid=>SYS_GUID(),inuser_id=>7379,inuser_guid=>NULL,inapp_id=>26,indivision_id=>NULL,insession_id=>NULL,iniec_id=>590);DIV_PUBLIC_pck.ListEnvelopes_received();SESSION_PCK.RemoveContext();END;",POSTBOX,590,,,,,
